Crash ID,State,Dayweek,Crash Type,Bus Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,Christmas Period,Easter Period,Age Group,Day of week,Time of day,DateTime,Year,Hour,Decade
20231262,NSW,Friday,Multiple,No,No,50,Passenger,Male,15,No,No,0_to_16,Weekend,Night,2023-09-01 21:20:00,2023,21,2020s
20231087,NSW,Sunday,Multiple,No,No,50,Driver,Male,14,No,No,0_to_16,Weekend,Night,2023-09-01 03:03:00,2023,3,2020s
20233008,Qld,Sunday,Multiple,No,Yes,80,Passenger,Male,25,No,No,17_to_25,Weekend,Night,2023-09-01 18:00:00,2023,18,2020s
20231262,NSW,Friday,Multiple,No,No,50,Driver,Female,24,No,No,17_to_25,Weekend,Night,2023-09-01 21:20:00,2023,21,2020s
20233152,Qld,Saturday,Single,No,No,100,Driver,Male,19,No,No,17_to_25,Weekend,Night,2023-09-01 20:00:00,2023,20,2020s
20231266,NSW,Sunday,Single,No,No,60,Motorcycle rider,Male,17,No,No,17_to_25,Weekend,Night,2023-09-01 19:30:00,2023,19,2020s
20233036,Qld,Saturday,Single,No,No,100,Driver,Male,21,No,No,17_to_25,Weekend,Night,2023-09-01 04:00:00,2023,4,2020s
20231066,NSW,Saturday,Single,No,No,100,Driver,Male,20,No,No,17_to_25,Weekend,Night,2023-09-01 00:01:00,2023,0,2020s
20233177,Qld,Saturday,Single,No,No,80,Driver,Male,25,No,No,17_to_25,Weekend,Night,2023-09-01 23:00:00,2023,23,2020s
20231267,NSW,Sunday,Single,No,No,100,Passenger,Male,39,No,No,26_to_39,Weekend,Night,2023-09-01 05:30:00,2023,5,2020s
20233094,Qld,Monday,Single,No,No,80,Driver,Male,21,No,No,17_to_25,Weekday,Night,2023-09-01 18:00:00,2023,18,2020s
20231002,NSW,Tuesday,Multiple,No,No,60,Passenger,Female,19,No,No,17_to_25,Weekday,Night,2023-09-01 19:40:00,2023,19,2020s
20231002,NSW,Tuesday,Multiple,No,No,60,Driver,Male,18,No,No,17_to_25,Weekday,Night,2023-09-01 19:40:00,2023,19,2020s
20234038,SA,Tuesday,Multiple,No,No,40,Motorcycle rider,Male,25,No,No,17_to_25,Weekday,Night,2023-09-01 18:01:00,2023,18,2020s
20233072,Qld,Thursday,Single,No,No,110,Driver,Male,37,No,No,26_to_39,Weekday,Night,2023-09-01 19:00:00,2023,19,2020s
20231086,NSW,Friday,Single,No,No,70,Driver,Male,32,No,No,26_to_39,Weekend,Night,2023-09-01 20:15:00,2023,20,2020s
20231086,NSW,Friday,Single,No,No,70,Passenger,Male,33,No,No,26_to_39,Weekend,Night,2023-09-01 20:15:00,2023,20,2020s
20231011,NSW,Monday,Multiple,No,No,100,Passenger,Female,37,No,No,26_to_39,Weekend,Night,2023-09-01 04:20:00,2023,4,2020s
20231108,NSW,Friday,Single,No,No,50,Driver,Male,36,No,No,26_to_39,Weekend,Night,2023-09-01 22:57:00,2023,22,2020s
20235032,WA,Sunday,Single,No,No,60,Driver,Male,73,No,No,65_to_74,Weekend,Day,2023-09-01 11:58:00,2023,11,2020s
20234019,SA,Saturday,Single,No,No,60,Motorcycle rider,Male,20,No,No,17_to_25,Weekend,Day,2023-09-01 17:00:00,2023,17,2020s
20235026,WA,Sunday,Single,No,No,110,Passenger,Male,19,No,No,17_to_25,Weekend,Day,2023-09-01 06:25:00,2023,6,2020s
20233167,Qld,Saturday,Single,No,No,50,Driver,Male,49,No,No,40_to_64,Weekend,Night,2023-09-01 05:00:00,2023,5,2020s
20231251,NSW,Saturday,Multiple,No,No,100,Driver,Male,27,No,No,26_to_39,Weekend,Day,2023-09-01 17:00:00,2023,17,2020s
20231263,NSW,Sunday,Single,No,No,80,Driver,Male,30,No,No,26_to_39,Weekend,Day,2023-09-01 16:40:00,2023,16,2020s
20233012,Qld,Saturday,Multiple,No,No,60,Passenger,Female,34,No,No,26_to_39,Weekend,Day,2023-09-01 13:00:00,2023,13,2020s
20231009,NSW,Saturday,Single,No,No,100,Driver,Male,57,No,No,40_to_64,Weekend,Night,2023-09-01 00:50:00,2023,0,2020s
20234029,SA,Saturday,Multiple,No,No,80,Motorcycle rider,Male,45,No,No,40_to_64,Weekend,Day,2023-09-01 14:24:00,2023,14,2020s
20233078,Qld,Sunday,Multiple,No,No,100,Motorcycle rider,Male,58,No,No,40_to_64,Weekend,Day,2023-09-01 10:00:00,2023,10,2020s
20231003,NSW,Saturday,Single,No,No,100,Passenger,Male,55,No,No,40_to_64,Weekend,Day,2023-09-01 16:08:00,2023,16,2020s
20233028,Qld,Saturday,Multiple,No,No,100,Motorcycle rider,Male,52,No,No,40_to_64,Weekend,Day,2023-09-01 12:00:00,2023,12,2020s
20231056,NSW,Saturday,Single,No,No,100,Driver,Male,57,No,No,40_to_64,Weekend,Day,2023-09-01 15:30:00,2023,15,2020s
20233120,Qld,Saturday,Single,No,No,100,Motorcycle rider,Male,53,No,No,40_to_64,Weekend,Day,2023-09-01 09:00:00,2023,9,2020s
20231173,NSW,Saturday,Multiple,No,No,80,Passenger,Male,63,No,No,40_to_64,Weekend,Day,2023-09-01 10:00:00,2023,10,2020s
